buy_month	sell_month	pints_purchased	expected_profit
2025-01-01	2025-02-01	197998	-220354.9936695
2025-01-01	2025-03-01	194153	-309999.2898132501
2025-01-01	2025-04-01	190456	-315332.5235900003
2025-01-01	2025-05-01	186896	-374647.0959240005
2025-01-01	2025-06-01	183467	-427895.5432917503
2025-01-01	2025-07-01	180162	-444202.96819050034
2025-01-01	2025-08-01	176973	-408994.3807582503
2025-01-01	2025-09-01	173896	-395389.98711400037
2025-01-01	2025-10-01	170924	-364098.0744310004
2025-01-01	2025-11-01	168051	-296437.8047377504
2025-01-01	2025-12-01	165274	-248588.8299925004
2025-02-01	2025-03-01	213896	-239836.290874
2025-02-01	2025-04-01	209417	-247168.8643612504
2025-02-01	2025-05-01	205121	-313665.9564552504
2025-02-01	2025-06-01	200998	-373228.21149950044
2025-02-01	2025-07-01	197038	-392140.15090950025
2025-02-01	2025-08-01	193231	-354705.49961275025
2025-02-01	2025-09-01	189567	-340901.2269967505
2025-02-01	2025-10-01	186041	-307856.0422852504
2025-02-01	2025-11-01	182643	-235349.2493857505
2025-02-01	2025-12-01	179367	-184515.05710875033
2025-03-01	2025-04-01	235363	-153897.0990137503
2025-03-01	2025-05-01	229951	-230589.1715127505
2025-03-01	2025-06-01	224782	-299066.8876455003
2025-03-01	2025-07-01	219840	-321796.35096000036
2025-03-01	2025-08-01	215111	-281635.2060827503
2025-03-01	2025-09-01	210581	-267841.1852602506
2025-03-01	2025-10-01	206238	-232713.85480950045
2025-03-01	2025-11-01	202071	-154013.51494275042
2025-03-01	2025-12-01	198068	-99489.80398500043
2025-04-01	2025-05-01	232866	-220835.0363265
2025-04-01	2025-06-01	227566	-290382.2377015
2025-04-01	2025-07-01	222503	-313581.3211307499
2025-04-01	2025-08-01	217660	-273123.087315
2025-04-01	2025-09-01	213023	-259350.2301807501
2025-04-01	2025-10-01	208580	-224001.41444500018
2025-04-01	2025-11-01	204318	-144603.05080950016
2025-04-01	2025-12-01	200227	-89673.91450374997
2025-05-01	2025-06-01	248895	-223874.8923487499
2025-05-01	2025-07-01	242850	-250809.46946249975
2025-05-01	2025-08-01	237093	-208228.1719882499
2025-05-01	2025-09-01	231601	-194756.81281525
2025-05-01	2025-10-01	226359	-157857.16421474988
2025-05-01	2025-11-01	221349	-73305.31041225005
2025-05-01	2025-12-01	216555	-15440.642193749876
2025-06-01	2025-07-01	265621	-180562.5816802499
2025-06-01	2025-08-01	258748	-135908.74542699996
2025-06-01	2025-09-01	252222	-123062.9601855001
2025-06-01	2025-10-01	246017	-84722.16587925014
2025-06-01	2025-11-01	240110	5240.340722499881
2025-06-01	2025-12-01	234480	66052.72289999986
2025-07-01	2025-08-01	268258	-104152.57685450008
2025-07-01	2025-09-01	261249	-91676.25814725032
2025-07-01	2025-10-01	254598	-52797.323899500254
2025-07-01	2025-11-01	248277	39432.532455749766
2025-07-01	2025-12-01	242262	101434.79657249998
2025-08-01	2025-09-01	249342	-133077.62786550028
2025-08-01	2025-10-01	243276	-94920.2741190001
2025-08-01	2025-11-01	237498	-5694.073924500291
2025-08-01	2025-12-01	231988	54725.67921499991
2025-09-01	2025-10-01	240202	-106355.50060049989
2025-09-01	2025-11-01	234568	-17962.103242000074
2025-09-01	2025-12-01	229192	42010.60711000011
2025-10-01	2025-11-01	225542	-55748.40023549994
2025-10-01	2025-12-01	220567	2800.925191250045
2025-11-01	2025-12-01	201948	-81849.77683499981
